id,Oddset,li,bet365,10bet,wl,w,ao,interw,ms,ysb,jbb,Pinnacle,SNAI,y,yy
5709,1.65,1.85,1.8,1.83,1.8,1.85,1.81,1.75,1.84,1.89,1.82,1.84,1.87,,2
5710,1.9,1.83,2,2.05,2.3,2.1,2.35,2,2.21,2.5,2.29,2.01,2.4,,2
5711,1.55,1.57,1.66,1.57,1.67,1.62,1.75,1.63,1.7,1.87,1.71,1.72,1.63,,2
5712,1.5,1.53,1.66,1.52,1.65,1.57,1.6,1.6,1.7,1.55,1.71,1.74,1.57,,1
5713,2.25,2.35,2.4,2.3,2.4,2.5,2.47,0,2.46,2.5,2.44,2.43,2.4,,2
5714,1.9,2.45,2.5,2.2,2.45,2.25,2.37,2.45,2.38,2.5,2.42,2.39,2.3,,1
5715,1.95,2.38,2.5,2.3,2.4,2.5,2.4,2.45,2.41,2.32,2.38,2.45,2.3,,2
5716,1.95,2.05,2.1,2,2.05,2.1,2.05,2.05,2.03,2.17,2.11,2.1,2.15,,1
5717,1.8,1.95,1.9,1.9,1.91,1.9,1.88,1.93,1.99,1.95,1.98,1.99,1.9,,1
5718,2.3,2.3,2.3,2.35,2.3,2.3,2.23,2.35,2.36,2.38,2.49,2.47,2.38,,1
5719,1.45,1.5,1.45,1.48,1.44,1.45,1.43,1.55,1.52,1.58,1.51,1.52,1.5,,1
5720,1.7,1.83,1.75,1.83,1.85,1.85,1.8,1.85,1.89,1.87,1.88,1.88,1.83,,2
5721,1.6,1.67,1.57,1.64,1.61,1.75,1.61,1.7,1.65,1.72,1.69,1.7,1.67,,2
5722,1.75,1.91,1.9,2,1.91,1.9,1.83,1.9,1.94,1.91,1.93,2,1.92,,2
5723,1.45,1.53,1.5,1.52,1.52,1.6,1.52,1.57,1.5,1.58,1.57,1.55,1.55,,1
5724,2.25,2.25,2.37,2.4,2.3,2.4,2.23,2.4,2.29,2.42,2.26,2.29,2.38,,2
5725,1.45,1.62,1.5,1.71,1.61,1.55,1.48,1.55,1.59,1.57,1.64,1.71,1.67,,1
5726,1.55,1.62,1.61,1.64,1.6,1.63,1.65,1.65,1.6,1.64,1.66,1.63,1.62,,1
5727,1.45,1.67,1.5,1.62,1.55,1.75,1.51,1.57,1.56,1.57,1.69,1.64,1.67,,2
5728,2.2,1.95,2.25,1.95,2,2.35,2.3,2.35,2.19,2.38,2.26,1.99,2.38,,1
5729,1.45,1.75,1.5,1.74,1.75,1.63,1.42,1.63,1.5,1.67,1.52,1.77,1.53,,1
5730,1.8,1.83,2,1.8,1.88,1.65,1.92,1.67,2.02,1.69,1.97,1.84,2,,2
5731,1.6,1.8,1.8,1.8,1.83,1.65,1.55,1.8,1.77,1.66,1.81,1.81,1.85,,2
5732,1.65,1.8,1.8,1.83,1.75,1.75,1.8,1.8,1.74,1.8,1.81,1.78,1.87,,1
5733,1.65,1.67,1.61,1.83,1.65,1.75,1.6,1.77,1.68,1.69,1.77,1.79,1.83,,1
5734,2.2,1.87,1.83,2.1,2,2.05,1.93,2.1,2.01,1.97,2.05,2.05,2.1,,1
5735,1.65,2.05,2.37,1.76,2.2,1.73,2.3,1.85,2.26,2.39,2.16,2.19,1.95,,2
5736,1.75,1.95,1.9,1.95,1.85,1.83,1.93,1.87,1.93,2,1.85,1.87,1.91,,1
5737,2.15,2.2,2.2,2.25,2.1,2.2,2.13,2.25,2.1,2.25,2.12,2.22,2.15,,1
5738,1.6,1.62,1.66,1.8,1.67,1.7,1.62,1.77,1.68,1.71,1.61,1.69,1.7,,2
5739,1.65,1.76,1.72,1.7,1.67,1.7,1.65,1.68,1.73,1.74,1.7,1.7,1.75,,1
5740,1.8,1.76,1.85,1.85,1.78,1.77,1.71,1.83,1.86,1.87,1.9,1.9,1.7,,1
5741,1.75,1.85,1.83,1.8,1.8,1.8,1.75,1.76,1.82,1.85,1.8,1.8,1.7,,1
5742,1.75,1.91,1.9,1.8,1.83,1.85,1.8,1.76,1.88,1.89,1.85,1.85,1.75,,2
5743,2.25,2.2,2.5,2.3,2.37,2.35,2.18,2.25,2.34,2.47,2.43,2.43,2.2,,2
5744,1.6,1.75,1.72,1.74,1.83,1.73,1.68,1.7,1.72,1.75,1.74,1.76,1.8,,2
5745,1.55,1.57,1.66,1.71,1.67,1.65,1.57,1.7,1.65,1.61,1.7,1.65,1.73,,1
