id,Oddset,li,bet365,10bet,wl,w,ao,interw,ms,jbb,ysb,hg,Pinnacle,SNAI,y
0,1.95,2.15,2.1,2.15,2.1,2.1,2.15,2.05,2.01,2.11,2.27,2.11,2.23,2.1,2
1,2.35,2.45,2.5,2.5,2.45,2.45,2.52,2.55,2.43,2.36,2.49,2.36,2.45,2.5,2
2,1.8,1.91,1.95,1.95,1.95,2,1.88,1.95,1.99,2.03,1.97,2.03,2.01,1.9,2
3,1.8,2.05,1.9,2,2,2.05,2,2.05,1.98,1.99,2.06,1.99,2.02,2.05,1
4,2.2,2.38,2.4,2.4,2.4,2.45,2.23,2.35,2.24,2.29,2.38,2.29,2.48,2.35,1
5,1.7,1.8,1.7,1.95,1.75,1.8,1.73,1.83,1.75,1.79,1.83,1.79,2,1.8,2
6,1.85,1.87,1.9,1.95,1.95,1.87,2.05,2,1.97,2.03,2.04,2.03,1.91,1.9,1
7,2.05,2.5,2.5,2.4,2.55,2.45,2.25,2.25,2.45,2.31,2.26,2.31,2.6,2.3,2
8,2.1,2.35,2.3,2.2,2.3,2.25,2.28,2.25,2.17,2.26,2.38,2.26,2.33,2.25,1
9,1.55,1.75,1.72,1.8,1.75,1.8,1.75,1.7,1.74,1.79,1.76,1.79,1.77,1.7,1
10,1.9,2.15,2.2,2.25,2.15,2.15,2.08,2.05,2.06,2.12,2.17,2.12,2.21,2.15,1
11,2.25,2.4,2.5,2.3,2.45,2.38,2.33,2.45,2.35,2.31,2.48,2.35,2.48,2.45,1
12,1.95,2.2,2.15,2.2,2.2,2.25,1.98,2.05,2.11,2.13,2.07,2.13,2.27,2.05,2
13,1.65,1.75,1.85,1.76,1.91,1.8,1.81,1.8,1.87,1.82,1.89,1.82,1.81,1.8,2
14,1.75,1.95,1.9,2,1.95,2,1.85,1.9,1.96,1.92,1.89,1.92,2.02,1.9,2
15,1.65,1.75,1.72,1.83,1.78,1.8,1.76,1.77,1.75,1.79,1.74,1.79,1.86,1.75,1
16,1.9,2.1,2.25,2.2,2.05,2.3,2.03,2.05,2.01,2.08,2.09,2.08,2.17,2.05,2
17,1.7,1.83,1.8,2,1.8,1.91,1.83,1.85,1.82,1.93,1.94,1.93,2.06,1.8,2
18,2.1,2.2,2.15,2.1,2.25,2.25,2.15,2.2,2.13,2.2,2.25,2.2,2.13,2.15,2
19,1.95,2.15,2.1,2.15,2.15,2.2,2.05,2.1,2.07,2.12,2.19,2.12,2.24,2.1,1
20,2.4,2.62,2.37,2.4,2.4,2.4,2.38,2.6,2.31,2.36,2.7,2.36,2.46,2.6,2
21,1.9,2.2,2,2,1.95,2,2.18,2,1.99,2,2.04,2,2,1.95,1
22,1.8,1.83,1.9,1.86,1.95,1.8,1.85,1.85,1.91,1.85,2.01,1.85,2.1,1.83,2
23,1.85,1.75,1.9,1.8,1.95,1.85,1.95,1.95,1.99,2,2.01,2,1.87,1.95,1
24,1.95,2.3,2,2.1,2.05,2.1,2.13,2.25,2.07,2.07,2.26,2.07,2.12,2.2,1
25,1.65,1.73,1.7,1.83,1.8,1.83,1.77,1.75,1.77,1.74,1.77,1.74,1.83,1.73,1
26,2.45,2.2,2.62,2.25,2.62,2.25,2.45,2.65,2.63,2.52,2.7,2.52,2.29,2.65,2
27,1.85,2.05,2,2,2,2,2.05,1.97,2.06,2.02,2.12,2.02,2.02,2,2
28,1.8,2.1,1.9,2.15,2,2.05,1.95,1.97,2.01,1.97,1.95,1.97,2.36,1.95,2
29,2.35,2.55,2.4,2.4,2.55,2.4,2.6,2.55,2.53,2.42,2.6,2.42,2.54,2.55,2
30,2.4,2.55,2.5,2.45,2.45,2.45,2.37,2.6,2.47,2.36,2.6,2.36,2.45,2.6,2
31,2.1,2.25,2.05,2.1,1.91,2.1,2.25,2.35,1.91,2.16,2.28,2.16,2.16,2.3,1
32,1.5,1.67,1.65,1.52,1.55,1.55,1.54,1.5,1.73,1.73,1.65,1.73,1.67,1.65,1
33,2,2.05,2.15,2.15,2.15,2.1,2.38,2.15,2.07,2.11,2.14,2.11,2.13,2.15,2
34,1.9,2.1,2,2.05,2.2,2.05,1.98,2.1,2.28,2.24,2.37,2.24,2.38,2.1,1
35,2,2.1,2.1,2.1,2.05,2.1,2.15,2.05,1.91,2.04,2.17,2.04,2.16,2.1,1
36,1.75,1.95,1.95,2,2,2,1.85,1.9,1.97,2.05,1.94,2.05,2.06,1.9,2
37,1.75,1.87,1.83,1.8,1.88,1.9,1.86,1.87,1.83,1.87,1.87,1.87,1.79,1.87,1
