cc,ysb,li,b5,sna,wl,ms,ao,pin,res,bstype,jbb,odd,w,b10,hg,inte
20190917周二001, 2.070 , 1.950 , 2.000 , 1.970 , 2.250 , 2.020 , 1.970 , 2.140 ,n, 亚冠杯 ,,, 2.450 , 2.450 , 2.060 , 1.970 
20190914周五009, 1.820 , 1.750 , 1.830 , 1.800 , 1.850 , 1.860 , 1.700 , 2.010 ,n, 法乙 ,,, 1.910 , 1.830 , 1.880 , 1.800 
20190914周五008, 2.310 , 2.250 , 2.450 , 2.300 , 2.300 , 2.320 , 2.150 , 2.330 ,n, 法乙 ,,, 2.250 , 2.200 , 2.280 , 2.300 
20190914周五011, 2.010 , 1.950 , 2.000 , 1.950 , 1.950 , 1.980 , 1.900 , 2.060 ,n, 法乙 ,,, 2.000 , 1.950 , 1.990 , 1.970 
20190922周六040, 1.780 , 1.750 , 1.800 , 1.750 , 1.750 , 1.800 , 1.700 , 1.830 ,n, 挪超 ,,, 1.800 , 1.760 , 1.750 , 1.770 
20190922周六039, 1.610 , 1.570 , 1.570 , 1.550 , 1.570 , 1.570 , 1.550 , 1.620 ,y, 瑞典超 ,,, 1.600 , 1.540 , 1.560 , 1.600 
20190914周五013, 2.200 , 2.150 , 2.250 , 2.200 , 2.200 , 2.170 , 2.050 , 2.620 ,n, 法乙 ,,, 2.300 , 2.300 , 2.230 , 2.200 
20190914周五022, 1.890 , 1.800 , 1.850 , 1.800 , 1.850 , 1.910 , 1.880 , 1.920 ,y, 荷乙 ,,, 1.850 , 1.830 , 1.880 , 1.800 
20190914周五003, 2.340 , 2.350 , 2.250 , 2.300 , 2.370 , 2.290 , 2.300 , 2.350 ,y, 德乙 ,,, 2.380 , 2.250 , 2.340 , 2.350 
20190914周五004, 2.160 , 2.100 , 2.100 , 2.100 , 2.050 , 2.190 , 1.970 , 2.060 ,y, 德乙 ,,, 2.100 , 2.050 , 2.130 , 2.100 
20190914周五006, 2.200 , 2.100 , 2.200 , 2.050 , 2.150 , 2.150 , 1.970 , 2.200 ,y, 瑞典超 ,,, 2.150 , 2.000 , 2.200 , 2.050 
20190914周五020, 2.260 , 2.150 , 2.100 , 2.050 , 2.100 , 2.060 , 2.150 , 2.190 ,n, 荷乙 ,,, 2.150 , 2.100 , 2.160 , 2.100 
20190914周五005, 1.910 , 1.670 , 1.750 , 1.800 , 1.650 , 1.690 , 1.780 , 1.710 ,y, 法甲 ,,, 1.600 , 1.640 , 1.630 , 1.770 
20190914周五010, 2.340 , 2.300 , 2.500 , 2.400 , 2.300 , 2.400 , 2.300 , 2.450 ,n, 法乙 ,,, 2.400 , 2.350 , 2.290 , 2.400 
20190914周五014, 2.300 , 2.200 , 2.300 , 2.250 , 2.300 , 2.250 , 2.050 , 2.330 ,y, 法乙 ,,, 2.300 , 2.250 , 2.240 , 2.200 
20190915周六055, 2.010 , 1.950 , 1.950 , 1.970 , 1.950 , 1.970 , 1.910 , 1.860 ,y, 美职业 ,,, 2.000 , 1.950 , 2.020 , 1.950 
20190922周六044, 2.060 , 2.000 , 1.850 , 1.870 , 1.850 , 2.090 , 1.950 , 1.900 ,y, 荷甲 ,,, 1.920 , 1.830 , 2.070 , 2.000 
20190914周五016, 1.910 , 1.850 , 1.830 , 1.850 , 1.830 , 1.950 , 1.920 , 1.870 ,y, 荷乙 ,,, 1.830 , 1.860 , 1.880 , 1.800 
20190922周六045, 2.420 , 2.380 , 2.600 , 2.450 , 2.400 , 2.390 , 2.280 , 2.490 ,n, 荷乙 ,,, 2.700 , 2.400 , 2.310 , 2.500 
20190914周五012, 2.050 , 1.870 , 1.910 , 1.950 , 2.000 , 1.970 , 1.850 , 2.270 ,y, 法乙 ,,, 2.100 , 2.100 , 2.020 , 1.970 
20190922周六048, 1.940 , 1.830 , 1.950 , 1.870 , 1.950 , 1.920 , 1.830 , 2.100 ,y, 法甲 ,,, 2.000 , 2.050 , 1.970 , 1.850 
20190922周六049, 2.500 , 2.500 , 2.380 , 2.500 , 2.350 , 2.380 , 2.500 , 2.610 ,n, 法甲 ,,, 2.450 , 2.500 , 2.380 , 2.450 
